,name,link
0,Imperial Purple,http://danielsmith.com/imperial-purple-5ml-tube-daniel-smith-extra-fine-watercolor/
1,Aussie Red Gold,http://danielsmith.com/aussie-red-gold-5ml-tube-daniel-smith-extra-fine-watercolor/
2,Buff Titanium,http://danielsmith.com/buff-titanium-5ml-tube-daniel-smith-extra-fine-watercolor/
3,Bismuth Vanadate Yellow,http://danielsmith.com/bismuth-vanadate-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/
4,Hansa Yellow Light,http://danielsmith.com/hansa-yellow-light-5ml-tube-daniel-smith-extra-fine-watercolor/
5,Cadmium Yellow Light Hue,http://danielsmith.com/cadmium-yellow-light-hue-5ml-tube-daniel-smith-extra-fine-watercolor/
6,Cadmium Yellow Medium Hue,http://danielsmith.com/cadmium-yellow-medium-hue-5ml-tube-daniel-smith-extra-fine-watercolor/
7,Aureolin (Cobalt Yellow),http://danielsmith.com/aureolin-cobalt-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/
8,Hansa Yellow Medium,http://danielsmith.com/hansa-yellow-medium-5ml-tube-daniel-smith-extra-fine-watercolor/
9,Lemon Yellow,http://danielsmith.com/lemon-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/
10,Indian Yellow,http://danielsmith.com/indian-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/
11,Naples Yellow,http://danielsmith.com/naples-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/
12,New Gamboge,http://danielsmith.com/new-gamboge-5ml-tube-daniel-smith-extra-fine-watercolor/
13,Pyrrol Orange,http://danielsmith.com/pyrrol-orange-5ml-tube-daniel-smith-extra-fine-watercolor/
14,Perinone Orange,http://danielsmith.com/perinone-orange-5ml-tube-daniel-smith-extra-fine-watercolor/
15,Transparent Pyrrol Orange,http://danielsmith.com/transparent-pyrrol-orange-5ml-tube-daniel-smith-extra-fine-watercolor/
16,Organic Vermilion,http://danielsmith.com/organic-vermilion-5ml-tube-daniel-smith-extra-fine-watercolor/
17,Quinacridone Coral,http://danielsmith.com/quinacridone-coral-5ml-tube-daniel-smith-extra-fine-watercolor/
18,Pyrrol Scarlet,http://danielsmith.com/pyrrol-scarlet-5ml-tube-daniel-smith-extra-fine-watercolor/
19,Cadmium Red Medium Hue,http://danielsmith.com/cadmium-red-medium-hue-5ml-tube-daniel-smith-extra-fine-watercolor/
20,Pyrrol Red,http://danielsmith.com/pyrrol-red-5ml-tube-daniel-smith-extra-fine-watercolor/
21,Quinacridone Red,http://danielsmith.com/quinacridone-red-5ml-tube-daniel-smith-extra-fine-watercolor/
22,Alizarin Crimson,http://danielsmith.com/alizarin-crimson-5ml-tube-daniel-smith-extra-fine-watercolor/
23,Permanent Alizarin Crimson,http://danielsmith.com/permanent-alizarin-crimson-5ml-tube-daniel-smith-extra-fine-watercolor/
24,Opera Pink,http://danielsmith.com/opera-pink-5ml-tube-daniel-smith-extra-fine-watercolor/
25,Quinacridone Pink,http://danielsmith.com/quinacridone-pink-5ml-tube-daniel-smith-extra-fine-watercolor/
26,Quinacridone Rose,http://danielsmith.com/quinacridone-rose-5ml-tube-daniel-smith-extra-fine-watercolor/
27,Quinacridone Magenta,http://danielsmith.com/quinacridone-magenta-5ml-tube-daniel-smith-extra-fine-watercolor/
28,Quinacridone Violet,http://danielsmith.com/quinacridone-violet-5ml-tube-daniel-smith-extra-fine-watercolor/
29,Cobalt Violet,http://danielsmith.com/cobalt-violet-5ml-tube-daniel-smith-extra-fine-watercolor/
30,Rose of Ultramarine,http://danielsmith.com/rose-of-ultramarine-5ml-tube-daniel-smith-extra-fine-watercolor/
31,Quinacridone Purple,http://danielsmith.com/quinacridone-purple-5ml-tube-daniel-smith-extra-fine-watercolor/
32,Ultramarine Violet,http://danielsmith.com/ultramarine-violet-5ml-tube-daniel-smith-extra-fine-watercolor/
33,Carbazole Violet,http://danielsmith.com/carbazole-violet-5ml-tube-daniel-smith-extra-fine-watercolor/
34,Cobalt Teal Blue,http://danielsmith.com/cobalt-teal-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
35,Moonglow,http://danielsmith.com/moonglow-5ml-tube-daniel-smith-extra-fine-watercolor/
36,Shadow Violet,http://danielsmith.com/shadow-violet-5ml-tube-daniel-smith-extra-fine-watercolor/
37,Indigo,http://danielsmith.com/indigo-5ml-tube-daniel-smith-extra-fine-watercolor/
38,Indanthrone Blue,http://danielsmith.com/indanthrone-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
39,Ultramarine Blue,http://danielsmith.com/ultramarine-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
40,French Ultramarine,http://danielsmith.com/french-ultramarine-5ml-tube-daniel-smith-extra-fine-watercolor/
41,Cobalt Blue,http://danielsmith.com/cobalt-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
42,Phthalo Blue Green Shade,http://danielsmith.com/phthalo-blue-green-shade-5ml-tube-daniel-smith-extra-fine-watercolor/
43,Phthalo Blue Red Shade,http://danielsmith.com/phthalo-blue-red-shade-5ml-tube-daniel-smith-extra-fine-watercolor/
44,Prussian Blue,http://danielsmith.com/prussian-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
45,Cerulean Blue,http://danielsmith.com/cerulean-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
46,Cerulean Blue Chromium,http://danielsmith.com/cerulean-blue-chromium-5ml-tube-daniel-smith-extra-fine-watercolor/
47,Manganese Blue Hue,http://danielsmith.com/manganese-blue-hue-5ml-tube-daniel-smith-extra-fine-watercolor/
48,Phthalo Turquoise,http://danielsmith.com/phthalo-turquoise-5ml-tube-daniel-smith-extra-fine-watercolor/
49,Ultramarine Turquoise,http://danielsmith.com/ultramarine-turquoise-5ml-tube-daniel-smith-extra-fine-watercolor/
50,Lunar Blue,http://danielsmith.com/lunar-blue-5ml-tube-daniel-smith-extra-fine-watercolor/
51,Viridian,http://danielsmith.com/viridian-5ml-tube-daniel-smith-extra-fine-watercolor/
52,Phthalo Green Blue Shade,http://danielsmith.com/phthalo-green-blue-shade-5ml-tube-daniel-smith-extra-fine-watercolor/
53,Cascade Green,http://danielsmith.com/cascade-green-5ml-tube-daniel-smith-extra-fine-watercolor/
54,Phthalo Green Yellow Shade,http://danielsmith.com/phthalo-green-yellow-shade-5ml-tube-daniel-smith-extra-fine-watercolor/
55,Hooker’s Green,http://danielsmith.com/hookers-green-5ml-tube-daniel-smith-extra-fine-watercolor/
56,Sap Green,http://danielsmith.com/sap-green-5ml-tube-daniel-smith-extra-fine-watercolor/
57,Deep Sap Green,http://danielsmith.com/deep-sap-green-5ml-tube-daniel-smith-extra-fine-watercolor/
58,Perylene Green,http://danielsmith.com/perylene-green-5ml-tube-daniel-smith-extra-fine-watercolor/
59,Undersea Green,http://danielsmith.com/undersea-green-5ml-tube-daniel-smith-extra-fine-watercolor/
60,Green Gold,http://danielsmith.com/green-gold-5ml-tube-daniel-smith-extra-fine-watercolor/
61,Rich Green Gold,http://danielsmith.com/rich-green-gold-5ml-tube-daniel-smith-extra-fine-watercolor/
62,Nickel Azo Yellow,http://danielsmith.com/nickel-azo-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/
63,Yellow Ochre,http://danielsmith.com/yellow-ochre-5ml-tube-daniel-smith-extra-fine-watercolor/
64,Raw Sienna,http://danielsmith.com/raw-sienna-5ml-tube-daniel-smith-extra-fine-watercolor/
65,Quinacridone Gold,http://danielsmith.com/quinacridone-gold-5ml-tube-daniel-smith-extra-fine-watercolor/
66,Quinacridone Deep Gold,http://danielsmith.com/quinacridone-deep-gold-5ml-tube-daniel-smith-extra-fine-watercolor/
67,Quinacridone Burnt Orange,http://danielsmith.com/quinacridone-burnt-orange-5ml-tube-daniel-smith-extra-fine-watercolor/
68,Quinacridone Sienna,http://danielsmith.com/quinacridone-sienna-5ml-tube-daniel-smith-extra-fine-watercolor/
69,Quinacridone Burnt Scarlet,http://danielsmith.com/quinacridone-burnt-scarlet-5ml-tube-daniel-smith-extra-fine-watercolor/
70,Burnt Sienna,http://danielsmith.com/burnt-sienna-5ml-tube-daniel-smith-extra-fine-watercolor/
71,Burnt Umber,http://danielsmith.com/burnt-umber-5ml-tube-daniel-smith-extra-fine-watercolor/
72,Raw Umber,http://danielsmith.com/raw-umber-5ml-tube-daniel-smith-extra-fine-watercolor/
73,Sepia,http://danielsmith.com/sepia-5ml-tube-daniel-smith-extra-fine-watercolor/
74,Neutral Tint,http://danielsmith.com/neutral-tint-5ml-tube-daniel-smith-extra-fine-watercolor/
75,Payne’s Gray,http://danielsmith.com/paynes-gray-5ml-tube-daniel-smith-extra-fine-watercolor/
76,Lunar Black,http://danielsmith.com/lunar-black-5ml-tube-daniel-smith-extra-fine-watercolor/
77,Chinese White,http://danielsmith.com/chinese-white-5ml-tube-daniel-smith-extra-fine-watercolor/
78,Titanium White,http://danielsmith.com/titanium-white-5ml-tube-daniel-smith-extra-fine-watercolor/
